row_id,energy
94993,1874.6016
94994,1828.986
94995,1772.8121
94996,1740.6687
94997,1693.0465
94998,1657.5746
94999,1626.4962
95000,1631.0475
95001,1653.6119
95002,1688.1138
95003,1743.952
95004,1797.9375
95005,1835.8427
95006,1885.2183
95007,1932.8848
95008,1999.3304
95009,2053.394
95010,2087.3542
95011,2107.9348
95012,2126.2295
95013,2144.2627
95014,2165.5154
95015,2165.5154
95016,2153.5122
95017,2128.8936
95018,2050.5818
95019,1984.4263
95020,1924.0032
95021,1858.8981
95022,1823.2024
95023,1791.2676
95024,1790.5477
95025,1812.6836
95026,1835.148
95027,1862.9523
95028,1895.7627
95029,1924.6433
95030,1966.4205
95031,2000.7339
95032,2062.4456
95033,2114.6755
95034,2142.7358
95035,2163.3167
95036,2181.611
95037,2196.9512
95038,2204.2126
95039,2204.2126
95040,2191.849
95041,2188.3872
95042,2107.4675
95043,2039.8672
95044,1978.8478
95045,1914.1316
95046,1877.9143
95047,1845.4285
95048,1843.5663
95049,1864.1545
95050,1886.2234
95051,1914.0277
95052,1946.8381
95053,1975.7188
95054,2017.496
95055,2051.8079
95056,2113.5215
95057,2165.7515
95058,2193.8118
95059,2214.3926
95060,2232.687
95061,2247.5134
95062,2253.2297
95063,2253.2297
95064,2240.8662
95065,2188.3872
95066,2107.4675
95067,2039.8672
95068,1978.8478
95069,1914.1316
95070,1878.1816
95071,1845.6958
95072,1843.8336
95073,1864.4219
95074,1886.4907
95075,1914.295
95076,1947.1055
95077,1975.9861
95078,2017.7633
95079,2052.0754
95080,2113.7888
95081,2165.7515
95082,2193.8118
95083,2214.3926
95084,2232.687
95085,2243.5696
95086,2249.9407
95087,2249.9407
95088,2234.381
95089,2182.647
95090,2101.7278
95091,2034.1273
95092,1973.1079
95093,1908.3917
95094,1872.4418
95095,1839.9559
95096,1838.0938
95097,1853.2091
95098,1869.8822
95099,1890.034
95100,1920.339
95101,1949.2196
95102,1996.9796
95103,2031.2938
95104,2093.005
95105,2144.9683
95106,2173.0286
95107,2193.6094
95108,2210.3997
95109,2190.6218
95110,2181.301
95111,2181.301
95112,2169.4102
95113,2089.692
95114,2022.2322
95115,1959.9764
95116,1888.511
95117,1801.7279
95118,1743.604
95119,1705.311
95120,1700.1359
95121,1707.4697
95122,1713.6588
95123,1727.1022
95124,1735.4495
95125,1747.1516
95126,1772.547
95127,1801.7191
95128,1863.4304
95129,1915.394
95130,1940.7572
95131,1957.7346
95132,1969.4893
95133,1956.0613
95134,1953.6156
95135,1953.6156
95136,1943.302
95137,1892.5615
95138,1834.8229
95139,1776.2274
95140,1719.9144
95141,1659.5837
95142,1617.4274
95143,1577.2208
95144,1572.4419
95145,1572.9391
95146,1581.7754
95147,1595.9025
95148,1613.5219
95149,1630.0415
95150,1638.5886
95151,1674.8911
95152,1736.8041
95153,1795.6324
95154,1829.5927
95155,1871.2603
95156,1903.3191
95157,1918.0564
95158,1941.1079
95159,1941.5775
95160,1931.6296
95161,1880.5867
95162,1834.9711
