row_id,energy
94993,1790.9233
94994,1705.7065
94995,1640.9993
94996,1571.8928
94997,1533.6149
94998,1539.1775
94999,1618.3748
95000,1772.4391
95001,1871.3604
95002,1913.1292
95003,1957.5717
95004,2095.9604
95005,2220.1936
95006,2300.3652
95007,2327.3333
95008,2338.8462
95009,2338.8462
95010,2338.8462
95011,2361.738
95012,2339.143
95013,2299.7815
95014,2295.6367
95015,2248.9956
95016,2114.791
95017,1878.2264
95018,1768.4269
95019,1699.1339
95020,1630.0275
95021,1591.7495
95022,1597.3121
95023,1673.9547
95024,1828.019
95025,1926.9403
95026,1957.6833
95027,1991.237
95028,2129.627
95029,2244.3315
95030,2324.5032
95031,2351.4712
95032,2362.9841
95033,2362.9841
95034,2362.9841
95035,2379.8464
95036,2352.8481
95037,2313.4866
95038,2309.3418
95039,2262.7007
95040,2126.9912
95041,1878.2264
95042,1768.4269
95043,1699.1339
95044,1630.0275
95045,1591.7495
95046,1597.3121
95047,1673.2216
95048,1827.2859
95049,1926.2072
95050,1956.9502
95051,1990.5039
95052,2128.8938
95053,2243.5984
95054,2323.77
95055,2350.738
95056,2362.251
95057,2362.251
95058,2362.251
95059,2379.1133
95060,2352.115
95061,2312.7534
95062,2308.6086
95063,2261.9675
95064,2126.258
95065,1878.2264
95066,1768.4269
95067,1699.1339
95068,1630.0275
95069,1591.7495
95070,1597.3121
95071,1673.2216
95072,1827.2859
95073,1926.2072
95074,1956.9502
95075,1990.5039
95076,2128.8938
95077,2243.5984
95078,2323.77
95079,2350.738
95080,2362.251
95081,2362.251
95082,2362.251
95083,2379.1133
95084,2352.115
95085,2312.7534
95086,2308.6086
95087,2261.9675
95088,2126.258
95089,1877.5923
95090,1760.5676
95091,1688.0486
95092,1618.9421
95093,1580.6642
95094,1585.0457
95095,1644.5631
95096,1795.6759
95097,1894.5972
95098,1925.3402
95099,1958.8939
95100,2092.3752
95101,2207.0796
95102,2283.125
95103,2307.4482
95104,2318.9612
95105,2318.9612
95106,2318.9612
95107,2327.9775
95108,2299.876
95109,2260.5144
95110,2256.3696
95111,2201.2122
95112,2063.8254
95113,1803.1702
95114,1668.8291
95115,1576.7776
95116,1507.6711
95117,1463.8561
95118,1468.2375
95119,1492.3313
95120,1589.9075
95121,1688.8287
95122,1719.5718
95123,1754.3253
95124,1889.084
95125,2004.2424
95126,2080.2869
95127,2110.3293
95128,2121.8423
95129,2121.8423
95130,2121.8423
95131,2138.8352
95132,2110.7336
95133,2071.3713
95134,2067.2266
95135,2016.9603
95136,1898.9705
95137,1665.9899
95138,1551.312
95139,1479.0896
95140,1426.4973
95141,1394.241
95142,1389.7952
95143,1420.1716
95144,1485.6841
95145,1584.6056
95146,1621.752
95147,1666.1945
95148,1759.7368
95149,1861.3533
95150,1976.4141
95151,2015.9767
95152,2027.4896
95153,2029.8156
95154,2045.9984
95155,2126.6726
95156,2116.1624
95157,2076.7996
95158,2072.655
95159,2026.0135
95160,1893.29
95161,1744.1434
95162,1658.9266
95163,1602.413
95164,1553.6113
95165,1526.1654
95166,1531.728
