row_id,energy
94993,1746.8468
94994,1631.1495
94995,1574.771
94996,1526.4152
94997,1494.1351
94998,1497.9108
94999,1586.2227
95000,1747.3179
95001,1869.6549
95002,1944.6742
95003,2003.5988
95004,2067.5732
95005,2148.1929
95006,2236.9338
95007,2271.1782
95008,2281.4097
95009,2281.4097
95010,2281.4097
95011,2286.5273
95012,2270.1987
95013,2231.4688
95014,2231.4688
95015,2165.7776
95016,2005.9276
95017,1856.126
95018,1733.1959
95019,1659.9181
95020,1609.8765
95021,1577.5964
95022,1576.0875
95023,1660.3901
95024,1818.1228
95025,1940.4596
95026,2006.297
95027,2045.7196
95028,2119.8877
95029,2211.464
95030,2298.7244
95031,2339.3333
95032,2350.5461
95033,2350.5461
95034,2350.5461
95035,2351.4155
95036,2333.6086
95037,2295.5408
95038,2295.5408
95039,2229.8496
95040,2069.6074
95041,1879.4893
95042,1756.5592
95043,1683.7651
95044,1633.7235
95045,1601.4435
95046,1596.6637
95047,1680.9663
95048,1837.9684
95049,1960.3052
95050,2026.1423
95051,2065.5652
95052,2139.7334
95053,2231.3098
95054,2318.57
95055,2359.179
95056,2370.3918
95057,2370.3918
95058,2370.3918
95059,2371.2612
95060,2353.4543
95061,2315.3865
95062,2315.3865
95063,2243.3743
95064,2083.3452
95065,1879.4893
95066,1756.5592
95067,1683.7651
95068,1633.7235
95069,1601.4435
95070,1596.6637
95071,1680.9663
95072,1837.9684
95073,1960.3052
95074,2026.1423
95075,2065.5652
95076,2139.7334
95077,2231.3098
95078,2318.57
95079,2359.179
95080,2370.3918
95081,2370.3918
95082,2370.3918
95083,2371.2612
95084,2353.4543
95085,2315.3865
95086,2315.3865
95087,2243.3743
95088,2083.3452
95089,1874.2802
95090,1734.8726
95091,1652.317
95092,1602.2754
95093,1569.9954
95094,1561.925
95095,1630.2357
95096,1775.2698
95097,1897.6068
95098,1963.4418
95099,2002.8674
95100,2076.5784
95101,2168.1543
95102,2255.4148
95103,2293.1772
95104,2302.12
95105,2302.12
95106,2302.12
95107,2290.1008
95108,2266.0627
95109,2224.9377
95110,2224.9377
95111,2143.7737
95112,1963.88
95113,1803.0433
95114,1649.9858
95115,1549.6686
95116,1487.6721
95117,1457.5364
95118,1448.2029
95119,1463.4579
95120,1531.3535
95121,1655.3806
95122,1715.1494
95123,1768.1359
95124,1822.2987
95125,1911.9237
95126,1999.1843
95127,2021.0923
95128,2029.1738
95129,2029.1738
95130,2029.1738
95131,2035.9127
95132,2015.4849
95133,1987.693
95134,1987.693
95135,1918.3987
95136,1776.8676
95137,1686.7686
95138,1540.4381
95139,1460.8795
95140,1402.4391
95141,1383.3162
95142,1374.9268
95143,1393.9716
95144,1434.843
95145,1539.5713
95146,1601.409
95147,1689.0349
95148,1732.2828
95149,1824.4406
95150,1938.184
95151,1986.319
95152,1996.5505
95153,2003.9592
95154,2035.6193
95155,2071.37
95156,2060.286
95157,2034.5413
95158,2034.5413
95159,1970.9446
95160,1807.979
95161,1721.0161
95162,1605.3187
95163,1548.9403
95164,1497.308
95165,1479.0364
95166,1482.8121
95167,1580.0437
95168,1749.3833
95169,1870.3613
95170,1945.3807
95171,2004.3047
95172,2040.4924
95173,2125.957
95174,2221.5427
95175,2264.449
95176,2274.6804
95177,2274.6804
95178,2274.6804
95179,2279.798
95180,2258.978
95181,2232.5632
95182,2232.5632
95183,2166.872
95184,2001.2173
95185,1815.2488
95186,1692.3187
95187,1619.0409
95188,1565.7228
95189,1547.4512
95190,1545.9423
95191,1639.1647
95192,1805.1417
95193,1926.1198
95194,1991.9564
95195,2031.3805
95196,2074.1064
95197,2170.5286
95198,2264.6335
95199,2313.9043
95200,2325.1172
95201,2325.1172
95202,2325.1172
95203,2325.9866
95204,2303.6882
95205,2277.9355
95206,2277.9355
95207,2212.2444
95208,2046.1993
95209,1797.8292
95210,1674.8992
95211,1602.1051
95212,1548.787
95213,1530.5154
95214,1525.7356
95215,1618.958
95216,1784.2045
95217,1905.1825
95218,1971.0192
95219,2010.4431
95220,2053.1694
95221,2149.5916
95222,2243.6965
95223,2292.9673
95224,2304.1802
95225,2304.1802
95226,2304.1802
95227,2305.0496
95228,2282.7512
95229,2256.9985
95230,2256.9985
95231,2184.9863
95232,2019.1531
95233,1797.8292
95234,1674.8992
95235,1602.1051
95236,1548.787
95237,1530.5154
95238,1525.7356
95239,1618.958
95240,1784.2045
95241,1905.1825
95242,1971.0192
95243,2010.4431
95244,2053.1694
95245,2149.5916
95246,2243.6965
95247,2292.9673
95248,2304.1802
95249,2304.1802
95250,2304.1802
95251,2305.0496
95252,2282.7512
95253,2256.9985
95254,2256.9985
95255,2184.9863
95256,2019.1531
95257,1806.6267
95258,1667.2191
95259,1584.6636
95260,1531.3455
95261,1513.0739
95262,1505.0037
95263,1582.234
95264,1735.5126
95265,1856.4906
95266,1922.3256
95267,1961.7513
95268,2004.4779
95269,2100.8994
95270,2195.0046
95271,2241.429
95272,2250.3718
95273,2250.3718
95274,2250.3718
95275,2238.3525
95276,2209.823
95277,2181.0735
95278,2181.0735
95279,2099.9094
95280,1926.8989
95281,1768.3365
95282,1615.279
95283,1514.9618
95284,1449.689
95285,1429.8416
95286,1420.508
95287,1441.8185
95288,1517.9587
95289,1640.627
95290,1700.3958
95291,1753.382
95292,1784.7256
95293,1879.196
95294,1973.3016
95295,2003.8715
95296,2011.953
95297,2011.953
95298,2011.953
95299,2018.6927
95300,1993.7722
95301,1972.4788
95302,1972.4788
95303,1903.1842
95304,1762.5427
95305,1692.3726
95306,1548.9315
95307,1473.2771
95308,1415.7462
95309,1396.6233
95310,1388.2339
95311,1407.2787
95312,1448.1501
95313,1552.8784
95314,1614.7162
95315,1691.5826
95316,1734.8306
95317,1826.9883
95318,1940.7317
95319,1988.8667
95320,1999.0983
95321,2006.507
95322,2038.1671
95323,2073.918
95324,2062.8342
95325,2037.0891
95326,2037.0891
95327,1973.4918
95328,1810.5267
95329,1737.1725
95330,1624.3645
95331,1571.8903
95332,1522.0276
95333,1503.756
95334,1507.5317
95335,1604.7633
95336,1774.1029
95337,1895.0809
95338,1970.1003
95339,2018.2659
95340,2054.4521
95341,2139.9175
95342,2235.5032
95343,2278.4094
95344,2288.6409
95345,2288.6409
95346,2288.6409
95347,2293.7585
95348,2272.9385
95349,2246.5237
95350,2246.5237
95351,2180.8325
95352,2015.1781
95353,1831.4052
95354,1711.3645
95355,1641.9908
95356,1590.4424
95357,1572.1708
95358,1570.6619
95359,1663.8843
95360,1829.8613
95361,1950.8394
95362,2016.6763
95363,2056.0999
95364,2098.8264
95365,2195.2485
95366,2289.3535
95367,2338.6243
95368,2349.8372
95369,2349.8372
95370,2349.8372
95371,2350.7065
95372,2328.4082
95373,2302.6555
95374,2302.6555
95375,2236.9644
95376,2070.9187
95377,1824.3802
95378,1704.3396
95379,1635.4497
95380,1583.9012
95381,1565.6296
95382,1560.8499
95383,1654.0723
95384,1819.3187
95385,1940.2968
95386,2006.1337
95387,2045.5575
95388,2088.284
95389,2184.706
95390,2278.811
95391,2328.0818
95392,2339.2947
95393,2339.2947
95394,2339.2947
95395,2340.164
95396,2317.8657
95397,2292.113
95398,2292.113
95399,2220.1008
95400,2054.2683
95401,1824.3802
95402,1704.3396
95403,1635.4497
95404,1583.9012
95405,1565.6296
95406,1560.8499
95407,1654.0723
95408,1819.3187
95409,1940.2968
95410,2006.1337
95411,2045.5575
95412,2088.284
95413,2184.706
95414,2278.811
95415,2328.0818
95416,2339.2947
95417,2339.2947
95418,2339.2947
95419,2340.164
95420,2317.8657
95421,2292.113
95422,2292.113
95423,2220.1008
95424,2054.2683
95425,1833.1777
95426,1696.6595
95427,1618.0082
95428,1566.4597
95429,1548.1881
95430,1540.1179
95431,1617.3483
95432,1770.6268
95433,1891.6049
95434,1957.4398
95435,1996.8656
95436,2039.5931
95437,2136.014
95438,2230.1191
95439,2276.5435
95440,2285.4863
95441,2285.4863
95442,2285.4863
95443,2273.467
95444,2244.9375
